id,category,relative_path,source_path,extension,size_bytes,size_human,converted_exists,chunked_exists,status,indexed_at
1,FireFox-Downloads,FireFox-Downloads/CIS_Microsoft_Windows_11_Enterprise_Benchmark_v5.0.0.pdf,D:\Books\FireFox-Downloads\CIS_Microsoft_Windows_11_Enterprise_Benchmark_v5.0.0.pdf,.pdf,8064018,7.7 MB,False,False,pending,2026-03-20T15:19:37
4,FireFox-Downloads,FireFox-Downloads/SSF_SS_1098T.pdf,D:\Books\FireFox-Downloads\SSF_SS_1098T.pdf,.pdf,77186,75.4 KB,False,False,pending,2026-03-20T15:19:37
6,FireFox-Downloads,FireFox-Downloads/[English (auto-generated)] How to CRAFT ANY ITEM YOU WANT! - PoE 2 ULTIMATE CRAFTING GUIDE [DownSub..txt,D:\Books\FireFox-Downloads\[English (auto-generated)] How to CRAFT ANY ITEM YOU WANT! - PoE 2 ULTIMATE CRAFTING GUIDE [DownSub..txt,.txt,47905,46.8 KB,True,True,chunked,2026-03-20T15:19:37
7,FireFox-Downloads,FireFox-Downloads/[English (auto-generated)] Secret History #8 Death by Bureaucracy [DownSub.com].txt,D:\Books\FireFox-Downloads\[English (auto-generated)] Secret History #8 Death by Bureaucracy [DownSub.com].txt,.txt,51362,50.2 KB,False,False,pending,2026-03-20T15:19:37
2,FireFox-Downloads,FireFox-Downloads/f5-big-ip-vmware-app-volumes-integration-guide.pdf,D:\Books\FireFox-Downloads\f5-big-ip-vmware-app-volumes-integration-guide.pdf,.pdf,3100915,3.0 MB,False,False,pending,2026-03-20T15:19:37
3,FireFox-Downloads,FireFox-Downloads/f5-big-ip-vmware-app-volumes-integration-guide.txt,D:\Books\FireFox-Downloads\f5-big-ip-vmware-app-volumes-integration-guide.txt,.txt,18552,18.1 KB,False,False,pending,2026-03-20T15:19:37
5,FireFox-Downloads,FireFox-Downloads/uUKTHbeC.htm,D:\Books\FireFox-Downloads\uUKTHbeC.htm,.htm,0,0.0 B,False,False,pending,2026-03-20T15:19:37
78,IT,IT/AI/DL/Deep Learning Cookbook.epub,D:\Books\IT\AI\DL\Deep Learning Cookbook.epub,.epub,9578207,9.1 MB,True,True,chunked,2026-03-20T15:19:38
79,IT,IT/AI/DL/Deep Learning with Python.pdf,D:\Books\IT\AI\DL\Deep Learning with Python.pdf,.pdf,15132084,14.4 MB,True,False,converted,2026-03-20T15:19:38
38,IT,IT/AI/Deep Learning_ Foundations and Concepts.pdf,D:\Books\IT\AI\Deep Learning_ Foundations and Concepts.pdf,.pdf,29138408,27.8 MB,True,False,converted,2026-03-20T15:19:38
80,IT,IT/AI/ML/Machine Learning a Practical Approach on the Statistical Learning Theory.pdf,D:\Books\IT\AI\ML\Machine Learning a Practical Approach on the Statistical Learning Theory.pdf,.pdf,7159092,6.8 MB,True,False,converted,2026-03-20T15:19:38
81,IT,IT/AI/ML/Machine Learning with Python Cookbook.epub,D:\Books\IT\AI\ML\Machine Learning with Python Cookbook.epub,.epub,4165377,4.0 MB,True,True,chunked,2026-03-20T15:19:38
82,IT,IT/AI/NLP/Mastering NLP from Foundations to LLMs.pdf,D:\Books\IT\AI\NLP\Mastering NLP from Foundations to LLMs.pdf,.pdf,40134142,38.3 MB,True,False,converted,2026-03-20T15:19:38
83,IT,IT/AI/NLP/Natural Language Processing in Action - Python.pdf,D:\Books\IT\AI\NLP\Natural Language Processing in Action - Python.pdf,.pdf,10176310,9.7 MB,True,False,converted,2026-03-20T15:19:38
39,IT,IT/AI/Neural Networks in Unity.pdf,D:\Books\IT\AI\Neural Networks in Unity.pdf,.pdf,6441822,6.1 MB,True,False,converted,2026-03-20T15:19:38
40,IT,IT/AI/Python AI Programming.epub,D:\Books\IT\AI\Python AI Programming.epub,.epub,5847729,5.6 MB,True,True,chunked,2026-03-20T15:19:38
41,IT,IT/Broadcom VMware/VMware vSAN 7.0 U3 Deep Dive.epub,D:\Books\IT\Broadcom VMware\VMware vSAN 7.0 U3 Deep Dive.epub,.epub,19878060,19.0 MB,True,True,chunked,2026-03-20T15:19:38
42,IT,IT/Broadcom VMware/VMware vSphere 6.7 Clustering.pdf,D:\Books\IT\Broadcom VMware\VMware vSphere 6.7 Clustering.pdf,.pdf,19230468,18.3 MB,True,False,converted,2026-03-20T15:19:38
44,IT,IT/Broadcom VMware/vSphere 6.5 Host Resources Deep Dive.pdf,D:\Books\IT\Broadcom VMware\vSphere 6.5 Host Resources Deep Dive.pdf,.pdf,16650337,15.9 MB,True,False,converted,2026-03-20T15:19:38
